iter	RMSE
0	58648.49541
1	55001.72313
2	51681.23653
3	48769.68996
4	46111.25626
5	43814.27285
6	41640.00275
7	39734.19427
8	38051.8729
9	36624.52164
10	35332.0221
11	34211.22543
12	33200.55388
13	32346.20886
14	31566.34332
15	30911.85302
16	30344.47199
17	29847.85528
18	29416.93326
19	29048.34464
20	28722.37979
21	28463.52888
22	28229.12082
23	28038.3095
24	27869.92445
25	27720.69122
26	27587.63017
27	27488.20527
28	27389.7325
29	27310.95881
30	27241.76896
31	27180.89969
32	27126.68173
33	27070.76045
34	27025.74646
35	26985.2338
36	26942.11063
37	26905.00498
38	26875.82729
39	26845.4008
40	26823.76563
41	26798.58457
42	26776.89764
43	26753.85938
44	26735.63619
45	26720.40703
46	26703.94097
47	26688.56693
48	26674.00698
49	26658.57652
50	26633.90859
51	26614.40202
52	26602.12269
53	26591.22751
54	26582.14185
55	26569.50492
56	26559.6338
57	26551.16204
58	26545.81981
59	26538.10606
60	26519.83159
61	26511.11742
62	26499.63833
63	26488.26677
64	26480.24796
65	26471.14885
66	26458.879
67	26451.7799
68	26439.24536
69	26429.50086
70	26416.88678
71	26408.88294
72	26399.95733
73	26392.76978
74	26388.07043
75	26378.08402
76	26368.7226
77	26364.90873
78	26357.90863
79	26345.85874
80	26339.27392
81	26330.90995
82	26316.54452
83	26305.61727
84	26294.13124
85	26285.54456
86	26274.72773
87	26267.33771
88	26253.13654
89	26242.15953
90	26228.19639
91	26220.6274
92	26210.70942
93	26195.38373
94	26193.32795
95	26184.17531
96	26169.61018
97	26149.22028
98	26143.07062
99	26127.82715
100	26123.7328
101	26115.01112
102	26109.78771
103	26105.78311
104	26098.7185
105	26096.21796
106	26089.03712
107	26082.67289
108	26076.72593
109	26070.20134
110	26063.42875
111	26056.68602
112	26049.35273
113	26043.23288
114	26023.51382
115	26011.4061
116	26001.3073
117	25987.66746
118	25979.47188
119	25964.03443
120	25957.4142
121	25948.67674
122	25931.78881
123	25924.5041
124	25908.94065
125	25901.2279
126	25890.33893
127	25876.71802
128	25868.70451
129	25861.12583
130	25845.64632
131	25838.40109
132	25829.03056
133	25823.99722
134	25817.46742
135	25811.50046
136	25808.80543
137	25794.16927
138	25779.95346
139	25775.04711
140	25764.40586
141	25757.46507
142	25750.4649
143	25733.76584
144	25726.59332
145	25714.05623
146	25709.63487
147	25690.65961
148	25684.16152
149	25678.30843
150	25661.90239
151	25656.24286
152	25651.16371
153	25645.21966
154	25637.45567
155	25626.58051
156	25615.53852
157	25610.41812
158	25598.1972
159	25593.65573
160	25584.49781
161	25579.83131
162	25573.72538
163	25562.79447
164	25557.6631
165	25554.10834
166	25548.67672
167	25538.51063
168	25527.78175
169	25522.65603
170	25518.5308
171	25505.29978
172	25496.75285
173	25485.09398
174	25478.15324
175	25473.75661
176	25467.81876
177	25459.4662
178	25444.09594
179	25436.29399
180	25426.44348
181	25420.43425
182	25416.97838
183	25413.15754
184	25410.00604
185	25406.02585
186	25402.81882
187	25397.72593
188	25386.32296
189	25381.13212
190	25372.2263
191	25367.33393
192	25365.28098
193	25354.46542
194	25347.22336
195	25341.78874
196	25326.07318
197	25316.91271
198	25307.85566
199	25299.79155
200	25295.55283
201	25285.75417
202	25283.81993
203	25273.67869
204	25264.33807
205	25259.31335
206	25253.55889
207	25247.08012
208	25244.33964
209	25236.71536
210	25231.45169
211	25224.9802
212	25217.1042
213	25208.23414
214	25195.11333
215	25190.452
216	25186.09282
217	25171.71058
218	25161.60104
219	25157.12422
220	25143.98839
221	25132.05552
222	25124.34007
223	25111.41289
224	25105.19608
225	25097.17946
226	25092.5512
227	25086.60425
228	25079.84252
229	25075.72148
230	25064.44466
231	25052.13137
232	25045.23867
233	25036.95196
234	25029.04236
235	25018.78716
236	25014.91226
237	25005.66485
238	24997.90711
239	24992.83221
240	24989.2186
241	24975.99723
242	24966.3086
243	24961.37565
244	24953.16815
245	24946.06475
246	24938.7744
247	24929.89421
248	24924.28403
249	24920.67558
250	24916.60241
251	24912.54929
252	24908.05743
253	24900.52477
254	24893.2093
255	24885.09652
256	24877.46593
257	24872.04359
258	24868.10008
259	24863.21449
260	24854.53045
261	24843.31829
262	24835.3807
263	24829.9552
264	24825.53513
265	24816.24048
266	24807.93276
267	24799.27749
268	24793.14844
269	24789.45336
270	24785.32878
271	24783.01791
272	24780.00843
273	24776.75634
274	24772.66497
275	24765.33439
276	24749.00206
277	24746.17546
278	24735.35125
279	24726.89689
